9001|0|2|1424262346|||Poi?
9001|2|0|1424262346|||Poi?
9001|2|0|1424262347|||Das http://oreno.soup.io/ ist ein Test<>: http://asset-5.soup.io/asset/9978/6216_54e9.jpeg
9001|2|0|1424262347|||Am besten ist es, den Leuten Geschichten zu erzählen, die absolut sinnlos sind, so wie damals, als ich mit der Fähre nach Shelbyville rübergefahren bin. Alles, was ich brauchte, war ein neuer Absatz für meinen Schuh, also beschloss ich nach Morganville rüber zu fahren, was zu damaliger Zeit aber noch Shelbyville hieß. Da hab ich mir eine Zwiebel an den Gürtel gehängt, das war damals übrigens üblich. Und die Überfahrt hat 5 Cent gekostet und auf dem 5 Cent Stück war damals noch ein wunderschöner Hummelschwarm abgebildet. Gib mir 5 Hummelschwärme für nen Viertel-Dollar, hieß es. Wo waren wir stehen geblieben?  Achja, der springende Punkt war, dass ich ne Zwiebel am Gürtel hatte, was damals absolut üblich war. Es gab keine weißen Zwiebeln, weil Krieg war.
9001|0|2|1424262351|3897-1-7||
9001|0|2|1424262353|3897-1-7||
9001|0|2|1424262355|3897-1-7||
9001|0|2|1424262357|3897-1-7||
9001|0|2|1424262359|3897-1-7||
9001|0|2|1424262361|3897-1-7||
9001|0|2|1424262363|3897-1-7||
9001|0|2|1424262366|3897-1-7||
9001|0|2|1424262368|3897-1-7||
9001|0|2|1424264431|3897-1-7||
9001|0|2|1424264433|3897-1-7||
9001|0|2|1424264435|3897-1-7||
9001|0|2|1424264437|3897-1-7||
9001|0|2|1424264439|3897-1-7||
9001|0|2|1424264441|3897-1-7||
9001|0|2|1424264443|3897-1-7||
9001|2|0|1424264453|3897-1-7||
9001|0|2|1424264454|||Poi?
9001|2|0|1424264454|||Poi?
9001|2|0|1424264455|||Das http://oreno.soup.io/ ist ein Test<>: http://asset-5.soup.io/asset/9978/6216_54e9.jpeg
9001|2|0|1424264455|||Am besten ist es, den Leuten Geschichten zu erzählen, die absolut sinnlos sind, so wie damals, als ich mit der Fähre nach Shelbyville rübergefahren bin. Alles, was ich brauchte, war ein neuer Absatz für meinen Schuh, also beschloss ich nach Morganville rüber zu fahren, was zu damaliger Zeit aber noch Shelbyville hieß. Da hab ich mir eine Zwiebel an den Gürtel gehängt, das war damals übrigens üblich. Und die Überfahrt hat 5 Cent gekostet und auf dem 5 Cent Stück war damals noch ein wunderschöner Hummelschwarm abgebildet. Gib mir 5 Hummelschwärme für nen Viertel-Dollar, hieß es. Wo waren wir stehen geblieben?  Achja, der springende Punkt war, dass ich ne Zwiebel am Gürtel hatte, was damals absolut üblich war. Es gab keine weißen Zwiebeln, weil Krieg war.
9001|0|2|1424264461|3897-1-7||
9001|0|2|1424265376|3897-1-7||
9001|0|2|1424286542|3897-1-7||
9001|0|2|1424286543|||Poi?
9001|2|0|1424286544|||Poi?
9001|0|2|1424286560|3897-1-7||
9001|0|2|1424286561|||Poi?
9001|2|0|1424286562|||Poi?
9001|0|2|1424286567|3897-1-7||
9001|0|2|1424286568|||Poi?
9001|2|0|1424286569|||Poi?
9001|0|2|1424286574|3897-1-7||
9001|0|2|1424286575|||Poi?
9001|2|0|1424286576|||Poi?
9001|0|2|1424286581|3897-1-7||
9001|0|2|1424286583|||Poi?
9001|2|0|1424286584|||Poi?
9001|0|2|1424286589|3897-1-7||
9001|0|2|1424286590|||Poi?
9001|2|0|1424286591|||Poi?
9001|0|2|1424286740|3897-1-7||
9001|0|2|1424286742|||Poi?
9001|2|0|1424286743|||Poi?
9001|0|2|1424286748|3897-1-7||
9001|0|2|1424286749|||Poi?
9001|2|0|1424286750|||Poi?
9001|0|2|1424286755|3897-1-7||
9001|0|2|1424286756|||Poi?
9001|2|0|1424286757|||Poi?
9001|0|2|1424286762|3897-1-7||
9001|0|2|1424286763|||Poi?
9001|2|0|1424286764|||Poi?
9001|0|2|1424286769|3897-1-7||
9001|0|2|1424286770|||Poi?
9001|2|0|1424286771|||Poi?
9001|0|2|1424286776|3897-1-7||
9001|0|2|1424286777|||Poi?
9001|2|0|1424286778|||Poi?
9001|0|2|1424286783|3897-1-7||
9001|0|2|1424286784|||Poi?
9001|2|0|1424286785|||Poi?
9001|0|2|1424286790|3897-1-7||
9001|0|2|1424286791|||Poi?
9001|2|0|1424286792|||Poi?
9001|0|2|1424286903|3897-1-7||
9001|0|2|1424286904|||Poi?
9001|2|0|1424286905|||Poi?
9001|0|2|1424286911|3897-1-7||
9001|0|2|1424286912|||Poi?
9001|2|0|1424286913|||Poi?
9001|0|2|1424286918|3897-1-7||
9001|0|2|1424286919|||Poi?
9001|2|0|1424286920|||Poi?
9001|0|2|1424286925|3897-1-7||
9001|0|2|1424286926|||Poi?
9001|2|0|1424286927|||Poi?
9001|0|2|1424286932|3897-1-7||
9001|0|2|1424286933|||Poi?
9001|2|0|1424286934|||Poi?
9001|0|2|1424286939|3897-1-7||
9001|0|2|1424286940|||Poi?
9001|2|0|1424286941|||Poi?
9001|0|2|1424286946|3897-1-7||
9001|0|2|1424286947|||Poi?
9001|2|0|1424286948|||Poi?
9001|0|2|1424286953|3897-1-7||
9001|0|2|1424286954|||Poi?
9001|2|0|1424286955|||Poi?
9001|0|2|1424286960|3897-1-7||
9001|0|2|1424286961|||Poi?
9001|2|0|1424286962|||Poi?
9001|0|2|1424286967|3897-1-7||
9001|0|2|1424286968|||Poi?
9001|2|0|1424286970|||Poi?
9001|0|2|1424286975|3897-1-7||
9001|0|2|1424286976|||Poi?
9001|2|0|1424286977|||Poi?
